Type of Event,Date_Display,Date_Formatted,Time,Long Title,Short Title,Limit,Reg Price,Early Price,Add-on
Humanities in Action,"Mar 6, 2018",2018-03-06,4:30pm-6:00pm,Earth is Dying and We Should Care ,Climate Change,60,18.00,GAA 13.00,Season Pass: $125 / GAA $90
Humanities in Action,"Mar 20, 2018",2018-03-20,4:30pm-6:00pm,Can We Have a Market Economy and Equality?,Market Economy,60,18.00,GAA 13.00,Season Pass: $125 / GAA $90
Humanities in Action,"Mar 27, 2018",2018-03-27,4:30pm-6:00pm,Money for Nothing? The Ethics of a Universal Basic Income,Universal Basic Income,60,18.00,GAA 13.00,Season Pass: $125 / GAA $90
Humanities in Action,"Apr 10, 2018",2018-04-10,4:30pm-6:00pm,The Ethics of “Nudge:” How Governments Get Us to Act Against Our Interests,Nudge,60,18.00,GAA 13.00,Season Pass: $125 / GAA $90
Humanities in Action,"Apr 17, 2018",2018-04-17,4:30pm-6:00pm,Is Privacy Worth Protecting Anymore?,Privacy,60,18.00,GAA 13.00,Season Pass: $125 / GAA $90
Humanities in Action,"Apr 24, 2018",2018-04-24,4:30pm-6:00pm,"TOMORROW 3.0: Birthing, Sharing, and Killing Jobs in the Next Great Economic Revolution",Tomorrow 3.0,60,18.00,GAA 13.00,Season Pass: $125 / GAA $90
Special Event,"Feb 27, 2018",2018-02-27,6:00pm-8:30pm,The 5th Annual Oscars Preview: A “Carolina Blue Carpet” Event,Oscars Preview 2018,,10.00,GAA free,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
